Protocol,Smart Contract Name,Repo Link,Category,Smart Contract Address
,MakerDAO-MCD_JOIN_LRC_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0x6C186404A7A238D3d6027C0299D1822c1cf5d8f1
,MakerDAO-MCD_JOIN_MANA_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0xA6EA3b9C04b8a38Ff5e224E7c3D6937ca44C0ef9
,MakerDAO-MCD_JOIN_PAXUSD_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0x7e62B7E279DFC78DEB656E34D6a435cC08a44666
,MakerDAO-MCD_JOIN_ZRX_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0xc7e8Cd72BDEe38865b4F5615956eF47ce1a7e5D0
,MakerDAO-MCD_JUG,https://github.com/makerdao/dss,DeFi;Collateralized Debt Position (CDP),0x19c0976f590D67707E62397C87829d896Dc0f1F1
,MakerDAO-MCD_POT,https://github.com/makerdao/dss,DeFi;Collateralized Debt Position (CDP),0x197E90f9FAD81970bA7976f33CbD77088E5D7cf7
,MakerDAO-MCD_SPOT,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0x65C79fcB50Ca1594B025960e539eD7A9a6D434A3
,MakerDAO-MCD_VAT,https://github.com/makerdao/dss,DeFi;Collateralized Debt Position (CDP),0x35D1b3F3D7966A1DFe207aa4514C12a259A0492B
,MakerDAO-MCD_VOW,https://github.com/makerdao/dss,DeFi;Collateralized Debt Position (CDP),0xA950524441892A31ebddF91d3cEEFa04Bf454466
,MakerDAO-MULTICALL,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x5e227AD1969Ea493B43F840cfF78d08a6fc17796
,MakerDAO-OSM_MOM,https://github.com/makerdao/osm-mom,DeFi;Collateralized Debt Position (CDP),0x76416A4d5190d071bfed309861527431304aA14f
,MakerDAO-PIP_BAT,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0xB4eb54AF9Cc7882DF0121d26c5b97E802915ABe6
,MakerDAO-PIP_COMP,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0xBED0879953E633135a48a157718Aa791AC0108E4
,MakerDAO-PIP_ETH,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0x81FE72B5A8d1A857d176C3E7d5Bd2679A9B85763
,MakerDAO-PIP_KNC,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0xf36B79BD4C0904A5F350F1e4f776B81208c13069
,MakerDAO-PIP_LINK,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0x9B0C694C6939b5EA9584e9b61C7815E8d97D9cC7
,MakerDAO-PIP_LRC,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0x9eb923339c24c40Bef2f4AF4961742AA7C23EF3a
,MakerDAO-PIP_MANA,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0x8067259EA630601f319FccE477977E55C6078C13
,MakerDAO-PIP_USDT,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0x7a5918670B0C390aD25f7beE908c1ACc2d314A3C
,MakerDAO-PIP_WBTC,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0xf185d0682d50819263941e5f4EacC763CC5C6C42
,MakerDAO-PIP_ZRX,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0x7382c066801E7Acb2299aC8562847B9883f5CD3c
,MakerDAO-PROXY_ACTIONS,https://github.com/makerdao/dss-proxy-actions,DeFi;Collateralized Debt Position (CDP),0x82ecD135Dce65Fbc6DbdD0e4237E0AF93FFD5038
,MakerDAO-PROXY_PAUSE_ACTIONS,https://github.com/makerdao/dss-deploy-pause-proxy-actions,DeFi;Collateralized Debt Position (CDP),0x6bda13D43B7EDd6CAfE1f70fB98b5d40f61A1370
,MakerDAO-PROXY_REGISTRY,https://github.com/makerdao/dss-proxy,DeFi;Collateralized Debt Position (CDP),0x4678f0a6958e4D2Bc4F1BAF7Bc52E8F3564f3fE4
,MakerDAO-MCD_JOIN_ETH_B,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0x08638eF1A205bE6762A8b935F5da9b700Cf7322c
,MakerDAO-PIP_BAL,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0x3ff860c0F28D69F392543A16A397D0dAe85D16dE
,MakerDAO-MCD_JOIN_BAL_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0x4a03Aa7fb3973d8f0221B466EefB53D0aC195f55
,MakerDAO-PIP_YFI,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0x5F122465bCf86F45922036970Be6DD7F58820214
,MakerDAO-MCD_JOIN_YFI_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0x3ff33d9162aD47660083D7DC4bC02Fb231c81677
,MakerDAO-RWA015_A_INPUT_CONDUIT_URN_USDC,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0xe08cb5E24862eA86328295D5E5c08972203C20D8
,MakerDAO-VOTE_PROXY_FACTORY,https://github.com/makerdao/vote-proxy,DeFi;Collateralized Debt Position (CDP),0x6FCD258af181B3221073A96dD90D1f7AE7eEc408
,MakerDAO-MCD_JOIN_UNI_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0x3BC3A58b4FC1CbE7e98bB4aB7c99535e8bA9b8F1
,MakerDAO-PIP_UNI,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0xf363c7e351C96b910b92b45d34190650df4aE8e7
,MakerDAO-MCD_IAM_AUTO_LINE,https://github.com/makerdao/dss-auto-line,DeFi;Collateralized Debt Position (CDP),0xC7Bdd1F2B16447dcf3dE045C4a039A60EC2f0ba3
,MakerDAO-MCD_JOIN_AAVE_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0x24e459F61cEAa7b1cE70Dbaea938940A7c5aD46e
,MakerDAO-PIP_AAVE,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0x8Df8f06DC2dE0434db40dcBb32a82A104218754c
,MakerDAO-MCD_JOIN_UNIV2DAIETH_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0x2502F65D77cA13f183850b5f9272270454094A08
,MakerDAO-PIP_UNIV2DAIETH,https://github.com/makerdao/univ2-lp-oracle,DeFi;Collateralized Debt Position (CDP),0xFc8137E1a45BAF0030563EC4F0F851bd36a85b7D
,MakerDAO-MCD_JOIN_UNIV2WBTCETH_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0xDc26C9b7a8fe4F5dF648E314eC3E6Dc3694e6Dd2
,MakerDAO-PIP_UNIV2WBTCETH,https://github.com/makerdao/univ2-lp-oracle,DeFi;Collateralized Debt Position (CDP),0x8400D2EDb8B97f780356Ef602b1BdBc082c2aD07
,MakerDAO-MCD_JOIN_UNIV2USDCETH_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0x03Ae53B33FeeAc1222C3f372f32D37Ba95f0F099
